geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01262,1262,0,Total for all sectors,1262.0,"Stockbridge, MA",2016,78,1509,13122,56572
8610000US01264,1264,0,Total for all sectors,1264.0,"Tyringham, MA",2016,1,a,D,D
8610000US01266,1266,0,Total for all sectors,1266.0,"West Stockbridge, MA",2016,44,133,1058,5806
8610000US01267,1267,0,Total for all sectors,1267.0,"Williamstown, MA",2016,213,3534,41015,185882
8610000US01270,1270,0,Total for all sectors,1270.0,"Windsor, MA",2016,8,24,263,1372
8610000US01301,1301,0,Total for all sectors,1301.0,"Greenfield, MA",2016,556,8161,69459,288599
8610000US01302,1302,0,Total for all sectors,1302.0,"Greenfield, MA",2016,22,409,5109,21320
8610000US01330,1330,0,Total for all sectors,1330.0,"Ashfield, MA",2016,36,173,1598,7060
8610000US01331,1331,0,Total for all sectors,1331.0,"Athol, MA",2016,211,2980,25846,110231
8610000US01337,1337,0,Total for all sectors,1337.0,"Bernardston, MA",2016,47,412,2637,12643
8610000US01338,1338,0,Total for all sectors,1338.0,"Buckland, MA",2016,13,40,383,1630
8610000US01339,1339,0,Total for all sectors,1339.0,"Charlemont, MA",2016,31,315,1360,6939
8610000US01340,1340,0,Total for all sectors,1340.0,"Colrain, MA",2016,18,91,1070,4064
8610000US01341,1341,0,Total for all sectors,1341.0,"Conway, MA",2016,26,120,1025,4689
8610000US01342,1342,0,Total for all sectors,1342.0,"Deerfield, MA",2016,27,879,8657,37182
8610000US01343,1343,0,Total for all sectors,1343.0,"Drury, MA",2016,1,a,D,D
8610000US01344,1344,0,Total for all sectors,1344.0,"Erving, MA",2016,21,270,2345,11532
8610000US01346,1346,0,Total for all sectors,1346.0,"Heath, MA",2016,5,15,75,294
8610000US01347,1347,0,Total for all sectors,1347.0,"Lake Pleasant, MA",2016,1,a,D,D
8610000US01349,1349,0,Total for all sectors,1349.0,"Millers Falls, MA",2016,7,11,57,364
8610000US01350,1350,0,Total for all sectors,1350.0,"Monroe Bridge, MA",2016,3,b,D,D
8610000US01351,1351,0,Total for all sectors,1351.0,"Montague, MA",2016,30,112,769,3722
8610000US01354,1354,0,Total for all sectors,1354.0,"Gill, MA",2016,22,296,1684,8015
8610000US01355,1355,0,Total for all sectors,1355.0,"New Salem, MA",2016,20,75,518,2506
8610000US01360,1360,0,Total for all sectors,1360.0,"Northfield, MA",2016,47,781,9172,35850
8610000US01364,1364,0,Total for all sectors,1364.0,"Orange, MA",2016,134,1287,11221,49416
8610000US01366,1366,0,Total for all sectors,1366.0,"Petersham, MA",2016,30,63,271,1336
8610000US01367,1367,0,Total for all sectors,1367.0,"Rowe, MA",2016,6,63,1451,5445
